"source_service_name","service_domain","service_group","service_name","is_clinical","is_malaria_related","include_in_analysis","needs_review"
"Urine rapid test for pregnancy","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Urine rapid test for pregnancy",TRUE,FALSE,TRUE,FALSE
"Vaccine storage","Support Services","Equipment and Infrastructure","Vaccine storage",FALSE,FALSE,FALSE,FALSE
"Vitamin A supplementation in infants and children 6-59 months","Community & Preventive Health","Community & Preventive Health","Vitamin A supplementation in infants and children 6-59 months",TRUE,FALSE,TRUE,FALSE
"Vitamin A supplementation in pregnat women","Community & Preventive Health","Community & Preventive Health","Vitamin A supplementation in pregnat women",TRUE,FALSE,TRUE,FALSE
"Vitamin A supplimentation in infants and children","Community & Preventive Health","Community & Preventive Health","Vitamin A supplimentation in infants and children",TRUE,FALSE,TRUE,FALSE
"X-Ray","Diagnostic Services","Diagnostic Services","X-Ray",TRUE,FALSE,TRUE,FALSE
"X-ray","Diagnostic Services","Diagnostic Services","X-ray",TRUE,FALSE,TRUE,FALSE
"Xpert","Diagnostic Services","TB Diagnostics","Xpert",TRUE,FALSE,TRUE,FALSE
"ZINC","Support Services","Commodities and Supplies","ZINC",FALSE,FALSE,FALSE,FALSE
"Zinc supplimentation","Support Services","Commodities and Supplies","Zinc supplimentation",FALSE,FALSE,FALSE,FALSE
"staff trained in monitoring","Support Services","Staff Training Records","staff trained in monitoring",FALSE,FALSE,FALSE,FALSE
