"source_service_name","service_domain","service_group","service_name","is_clinical","is_malaria_related","include_in_analysis","needs_review"
"HIV and TB screening","HIV/AIDS Services","HIV Testing & Counselling","HIV and TB screening",TRUE,FALSE,TRUE,FALSE
"HIV test","HIV/AIDS Services","HIV/AIDS Services","HIV test",TRUE,FALSE,TRUE,FALSE
"HIV-AIDS national guidelines","Support Services","Guidelines and Job Aids","HIV-AIDS national guidelines",FALSE,FALSE,FALSE,FALSE
"HTC for minor adolescents","HIV/AIDS Services","HIV/AIDS Services","HTC for minor adolescents",TRUE,FALSE,TRUE,FALSE
"HTC room","HIV/AIDS Services","HIV/AIDS Services","HTC room",TRUE,FALSE,TRUE,FALSE
"HTS","HIV/AIDS Services","HIV/AIDS Services","HTS",TRUE,FALSE,TRUE,FALSE
"Hand sanitiser","Support Services","Equipment and Infrastructure","Hand sanitiser",FALSE,FALSE,FALSE,FALSE
"Hand washing soap","Support Services","Equipment and Infrastructure","Hand washing soap",FALSE,FALSE,FALSE,FALSE
"Hand waship soap","Support Services","Equipment and Infrastructure","Hand waship soap",FALSE,FALSE,FALSE,FALSE
"Health Education","Community & Preventive Health","Community & Preventive Health","Health Education",TRUE,FALSE,TRUE,FALSE
"Health education","Community & Preventive Health","Community & Preventive Health","Health education",TRUE,FALSE,TRUE,FALSE
"Hematology","Diagnostic Services","Diagnostic Services","Hematology",TRUE,FALSE,TRUE,FALSE
"Hernia Repair","Clinical Services","General Clinical Services","Hernia Repair",TRUE,FALSE,TRUE,FALSE
"Hydralazine","Support Services","Commodities and Supplies","Hydralazine",FALSE,FALSE,FALSE,FALSE
"IMCI Guidelines","Support Services","Guidelines and Job Aids","IMCI Guidelines",FALSE,FALSE,FALSE,FALSE
"IMCI – Integrated Management of Child Illnesses","Clinical Services","General Clinical Services","IMCI – Integrated Management of Child Illnesses",TRUE,FALSE,TRUE,FALSE
"IMEESC trained staff","Support Services","Staff Training Records","IMEESC trained staff",FALSE,FALSE,FALSE,FALSE
"IPT guidelines","Support Services","Guidelines and Job Aids","IPT guidelines",FALSE,FALSE,FALSE,FALSE
"ITN Distribution","Malaria Services","Malaria Diagnosis and Treatment","ITN Distribution",TRUE,TRUE,TRUE,FALSE
"IV Solutions","Clinical Services","General Inpatient (IPD)","IV Solutions",TRUE,FALSE,TRUE,FALSE
"IV Treatment","Clinical Services","General Inpatient (IPD)","IV Treatment",TRUE,FALSE,TRUE,FALSE
"Immunizations","Community & Preventive Health","Community & Preventive Health","Immunizations",TRUE,FALSE,TRUE,FALSE
"Immunology and Serology","Diagnostic Services","Diagnostic Services","Immunology and Serology",TRUE,FALSE,TRUE,FALSE
"Implant","Support Services","Commodities and Supplies","Implant",FALSE,FALSE,FALSE,FALSE
"Implants","Support Services","Commodities and Supplies","Implants",FALSE,FALSE,FALSE,FALSE
"In patient services (IPD)","Clinical Services","General Clinical Services","In patient services (IPD)",TRUE,FALSE,TRUE,FALSE
"Infant and young child feeding last 2 years","Support Services","Guidelines and Job Aids","Infant and young child feeding last 2 years",FALSE,FALSE,FALSE,FALSE
"Inhalers","Support Services","Commodities and Supplies","Inhalers",FALSE,FALSE,FALSE,FALSE
"Injectable","Reproductive & Maternal Health","Family Planning","Injectable",TRUE,FALSE,TRUE,FALSE
"Injectable Contraceptive","Support Services","Commodities and Supplies","Injectable Contraceptive",FALSE,FALSE,FALSE,FALSE
"Intrauterine Device (IUCD)","Support Services","Commodities and Supplies","Intrauterine Device (IUCD)",FALSE,FALSE,FALSE,FALSE
"Intrauterine Device (IUD)","Support Services","Commodities and Supplies","Intrauterine Device (IUD)",FALSE,FALSE,FALSE,FALSE
"Iron Suppliment","Support Services","Commodities and Supplies","Iron Suppliment",FALSE,FALSE,FALSE,FALSE
"Iron Supplimentation","Support Services","Commodities and Supplies","Iron Supplimentation",FALSE,FALSE,FALSE,FALSE
"Ketone test","Diagnostic Services","Diagnostic Services","Ketone test",TRUE,FALSE,TRUE,FALSE
"Laboratory","Diagnostic Services","Diagnostic Services","Laboratory",TRUE,FALSE,TRUE,FALSE
"Laparatomy provided","Clinical Services","General Clinical Services","Laparatomy provided",TRUE,FALSE,TRUE,FALSE
"Laptop for mtb testing","Support Services","Equipment and Infrastructure","Laptop for mtb testing",FALSE,FALSE,FALSE,FALSE
"Levonorgestrel","Support Services","Commodities and Supplies","Levonorgestrel",FALSE,FALSE,FALSE,FALSE
"MCI-Integrated Mangement of child illiness","Clinical Services","General Clinical Services","MCI-Integrated Mangement of child illiness",TRUE,FALSE,TRUE,FALSE
"MDR TB guidelines","Support Services","Guidelines and Job Aids","MDR TB guidelines",FALSE,FALSE,FALSE,FALSE
"MRDT available","Malaria Services","Malaria Diagnosis and Treatment","MRDT available",TRUE,TRUE,TRUE,FALSE
"Magnesium Sulphate","Support Services","Commodities and Supplies","Magnesium Sulphate",FALSE,FALSE,FALSE,FALSE
"Magnesium sulphate","Support Services","Commodities and Supplies","Magnesium sulphate",FALSE,FALSE,FALSE,FALSE
"Malaria Diagnosis and Treatment","Malaria Services","Malaria Diagnosis and Treatment","Malaria Diagnosis and Treatment",TRUE,TRUE,TRUE,FALSE
"Malaria Treatment","Malaria Services","Malaria Diagnosis and Treatment","Malaria Treatment",TRUE,TRUE,TRUE,FALSE
"Malaria diagnosis","Malaria Services","Malaria Diagnosis and Treatment","Malaria diagnosis",TRUE,TRUE,TRUE,FALSE
"Malaria diagnosis through symptoms","Malaria Services","Malaria Diagnosis and Treatment","Malaria diagnosis through symptoms",TRUE,TRUE,TRUE,FALSE
" Malaria facility offer diagnosis and malaria treatment","Malaria Services","Malaria Diagnosis and Treatment","Malaria facility offer diagnosis and malaria treatment",TRUE,TRUE,TRUE,FALSE
"Malaria rapid diagnostic test (MRDT)","Malaria Services","Malaria Diagnosis and Treatment","Malaria rapid diagnostic test (MRDT)",TRUE,TRUE,TRUE,FALSE
"Malaria rapid test","Malaria Services","Malaria Diagnosis and Treatment","Malaria rapid test",TRUE,TRUE,TRUE,FALSE
"Male Sterilisation","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Male Sterilisation",TRUE,FALSE,TRUE,FALSE
"Male condoms","Support Services","Commodities and Supplies","Male condoms",FALSE,FALSE,FALSE,FALSE
"Management of High Blood Pressure in Pregnant women","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Management of High Blood Pressure in Pregnant women",TRUE,FALSE,TRUE,FALSE
"Management of malnutrition","Community & Preventive Health","Growth Monitoring & Nutrition","Management of malnutrition",TRUE,FALSE,TRUE,FALSE
"Management of severe malnutrition (children)","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Management of severe malnutrition (children)",TRUE,FALSE,TRUE,FALSE
"Manual removal of placenta","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Manual removal of placenta",TRUE,FALSE,TRUE,FALSE
"Maternal & Child Health","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Maternal & Child Health",TRUE,FALSE,TRUE,FALSE
"Maternal Deaths","Support Services","Support Services","Maternal Deaths",FALSE,FALSE,FALSE,FALSE
"Maternity","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Maternity",TRUE,FALSE,TRUE,FALSE
"Measles Rubella","Community & Preventive Health","Immunisation/Vaccination","Measles Rubella",TRUE,FALSE,TRUE,FALSE
"Measles vaccine","Support Services","Commodities and Supplies","Measles vaccine",FALSE,FALSE,FALSE,FALSE
"Measles vaccine stock out","Support Services","Supply Chain Records","Measles vaccine stock out",FALSE,FALSE,FALSE,FALSE
"Medical","Clinical Services","General Inpatient (IPD)","Medical",TRUE,FALSE,TRUE,FALSE
"Medical Rehabilitation","Clinical Services","General Clinical Services","Medical Rehabilitation",TRUE,FALSE,TRUE,FALSE
"Medical devices","Support Services","Equipment and Infrastructure","Medical devices",FALSE,FALSE,FALSE,FALSE
"Methyldopa","Support Services","Commodities and Supplies","Methyldopa",FALSE,FALSE,FALSE,FALSE
"Metronidazole","Support Services","Commodities and Supplies","Metronidazole",FALSE,FALSE,FALSE,FALSE
"Microbiology","Diagnostic Services","Diagnostic Services","Microbiology",TRUE,FALSE,TRUE,FALSE
"Microscopy","Diagnostic Services","Diagnostic Services","Microscopy",TRUE,FALSE,TRUE,FALSE
"Misoprostol","Support Services","Commodities and Supplies","Misoprostol",FALSE,FALSE,FALSE,FALSE
"Molecular biological technique for HIV Viral load","HIV/AIDS Services","HIV/AIDS Services","Molecular biological technique for HIV Viral load",TRUE,FALSE,TRUE,FALSE
"NCD","Clinical Services","General Clinical Services","NCD",TRUE,FALSE,TRUE,FALSE
"National ART guidelines","Support Services","Guidelines and Job Aids","National ART guidelines",FALSE,FALSE,FALSE,FALSE
"National STI guidelines","Support Services","Guidelines and Job Aids","National STI guidelines",FALSE,FALSE,FALSE,FALSE
"National guidelines for Cervical cancer","Support Services","Guidelines and Job Aids","National guidelines for Cervical cancer",FALSE,FALSE,FALSE,FALSE
"National guidelines for Surgical care","Support Services","Guidelines and Job Aids","National guidelines for Surgical care",FALSE,FALSE,FALSE,FALSE
"National guidelines for TB- MDR","Support Services","Guidelines and Job Aids","National guidelines for TB- MDR",FALSE,FALSE,FALSE,FALSE
"Needle holders","Support Services","Equipment and Infrastructure","Needle holders",FALSE,FALSE,FALSE,FALSE
"Neonatal","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Neonatal",TRUE,FALSE,TRUE,FALSE
"Neonatal Rescucitation","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Neonatal Rescucitation",TRUE,FALSE,TRUE,FALSE
"Neonatal resuscitation (institutional)","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Neonatal resuscitation (institutional)",TRUE,FALSE,TRUE,FALSE
"Neonatal sucntion bulb single use/multiuse","Support Services","Equipment and Infrastructure","Neonatal sucntion bulb single use/multiuse",FALSE,FALSE,FALSE,FALSE
"Neonatal surgery","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Neonatal surgery",TRUE,FALSE,TRUE,FALSE
"Neurology","Clinical Services","General Clinical Services","Neurology",TRUE,FALSE,TRUE,FALSE
"New born rescucitation","Reproductive & Maternal Health","Reproductive & Maternal Health Services","New born rescucitation",TRUE,FALSE,TRUE,FALSE
"Nifedipe","Support Services","Commodities and Supplies","Nifedipe",FALSE,FALSE,FALSE,FALSE
"Non-Communicable Diseases","Clinical Services","General Clinical Services","Non-Communicable Diseases",TRUE,FALSE,TRUE,FALSE
"Nutrition","Community & Preventive Health","Community & Preventive Health","Nutrition",TRUE,FALSE,TRUE,FALSE
"Nutrition Counselling","Community & Preventive Health","Community & Preventive Health","Nutrition Counselling",TRUE,FALSE,TRUE,FALSE
"Nutrition services","Community & Preventive Health","Community & Preventive Health","Nutrition services",TRUE,FALSE,TRUE,FALSE
"ORS","Support Services","Commodities and Supplies","ORS",FALSE,FALSE,FALSE,FALSE
"ORS provision","Support Services","Commodities and Supplies","ORS provision",FALSE,FALSE,FALSE,FALSE
"Obs & Gynae","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Obs & Gynae",TRUE,FALSE,TRUE,FALSE
"Obstetric Guidelines","Support Services","Guidelines and Job Aids","Obstetric Guidelines",FALSE,FALSE,FALSE,FALSE
"Obstetric Job aid","Support Services","Guidelines and Job Aids","Obstetric Job aid",FALSE,FALSE,FALSE,FALSE
"Obstetric Referrals","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Obstetric Referrals",TRUE,FALSE,TRUE,FALSE
"Obstetric care medicines","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Obstetric care medicines",TRUE,FALSE,TRUE,FALSE
"Obstetrics Job aid in maternal and neonatal care","Support Services","Guidelines and Job Aids","Obstetrics Job aid in maternal and neonatal care",FALSE,FALSE,FALSE,FALSE
"Ophthalmology (Eye)","Clinical Services","General Clinical Services","Ophthalmology (Eye)",TRUE,FALSE,TRUE,FALSE
"Oral Contraceptives","Support Services","Commodities and Supplies","Oral Contraceptives",FALSE,FALSE,FALSE,FALSE
"Other Specialized Services","Clinical Services","General Clinical Services","Other Specialized Services",TRUE,FALSE,TRUE,FALSE
"Out patient services (OPD)","Clinical Services","General Clinical Services","Out patient services (OPD)",TRUE,FALSE,TRUE,FALSE
"Oxytocin","Support Services","Commodities and Supplies","Oxytocin",FALSE,FALSE,FALSE,FALSE
"PMTCT guideines","HIV/AIDS Services","HIV/AIDS Services","PMTCT guideines",TRUE,FALSE,TRUE,FALSE
"PMTCT room","HIV/AIDS Services","HIV/AIDS Services","PMTCT room",TRUE,FALSE,TRUE,FALSE
"Paediatric-HIV servies","HIV/AIDS Services","HIV/AIDS Services","Paediatric-HIV servies",TRUE,FALSE,TRUE,FALSE
"Palliative care","Clinical Services","General Clinical Services","Palliative care",TRUE,FALSE,TRUE,FALSE
"Palliative care Services","Clinical Services","General Clinical Services","Palliative care Services",TRUE,FALSE,TRUE,FALSE
"Palliative care guidelines","Support Services","Guidelines and Job Aids","Palliative care guidelines",FALSE,FALSE,FALSE,FALSE
"Parasitology","Diagnostic Services","Diagnostic Services","Parasitology",TRUE,FALSE,TRUE,FALSE
"Parentel oxytocin","Support Services","Commodities and Supplies","Parentel oxytocin",FALSE,FALSE,FALSE,FALSE
"Peak flow meters","Support Services","Commodities and Supplies","Peak flow meters",FALSE,FALSE,FALSE,FALSE
"Pediatric","Clinical Services","General Clinical Services","Pediatric",TRUE,FALSE,TRUE,FALSE
"Pentavalet vaccine stock out","Support Services","Supply Chain Records","Pentavalet vaccine stock out",FALSE,FALSE,FALSE,FALSE
"Penuomoccocal vaccine stock out","Support Services","Supply Chain Records","Penuomoccocal vaccine stock out",FALSE,FALSE,FALSE,FALSE
"Pharmacy","Support Services","Support Services","Pharmacy",FALSE,FALSE,FALSE,FALSE
"Pill","Support Services","Commodities and Supplies","Pill",FALSE,FALSE,FALSE,FALSE
"Pipettes","Support Services","Equipment and Infrastructure","Pipettes",FALSE,FALSE,FALSE,FALSE
"Pneumococcol vaccine","Support Services","Commodities and Supplies","Pneumococcol vaccine",FALSE,FALSE,FALSE,FALSE
"Pneumonia Treatment","Clinical Services","General Clinical Services","Pneumonia Treatment",TRUE,FALSE,TRUE,FALSE
"Pneumonia treatment","Clinical Services","General Clinical Services","Pneumonia treatment",TRUE,FALSE,TRUE,FALSE
"Polio vaccine","Support Services","Commodities and Supplies","Polio vaccine",FALSE,FALSE,FALSE,FALSE
"Polio vaccine diluent","Support Services","Commodities and Supplies","Polio vaccine diluent",FALSE,FALSE,FALSE,FALSE
"Polio vaccine stock out","Support Services","Supply Chain Records","Polio vaccine stock out",FALSE,FALSE,FALSE,FALSE
"Post-natal consultation","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Post-natal consultation",TRUE,FALSE,TRUE,FALSE
"Postnatal services","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Postnatal services",TRUE,FALSE,TRUE,FALSE
"Power source","Support Services","Equipment and Infrastructure","Power source",FALSE,FALSE,FALSE,FALSE
"Pregnancy test","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Pregnancy test",TRUE,FALSE,TRUE,FALSE
"PrepP-Pre exposure prophylaxis","HIV/AIDS Services","HIV/AIDS Services","PrepP-Pre exposure prophylaxis",TRUE,FALSE,TRUE,FALSE
"Prevention of Mother to Child Transmission of HIV (PMTCT)","HIV/AIDS Services","HIV/AIDS Services","Prevention of Mother to Child Transmission of HIV (PMTCT)",TRUE,FALSE,TRUE,FALSE
"Progesterone only injectable","Support Services","Commodities and Supplies","Progesterone only injectable",FALSE,FALSE,FALSE,FALSE
"Progesterone oral Contraceptive","Support Services","Commodities and Supplies","Progesterone oral Contraceptive",FALSE,FALSE,FALSE,FALSE
"Prosthetics","Clinical Services","General Clinical Services","Prosthetics",TRUE,FALSE,TRUE,FALSE
"Psychiatry","Clinical Services","General Clinical Services","Psychiatry",TRUE,FALSE,TRUE,FALSE
"RDTS","Malaria Services","Malaria Diagnosis and Treatment","RDTS",TRUE,TRUE,TRUE,FALSE
"RDTS stock out","Support Services","Supply Chain Records","RDTS stock out",FALSE,TRUE,FALSE,FALSE
"RDTs for under-5","Malaria Services","Malaria Diagnosis and Treatment","RDTs for under-5",TRUE,TRUE,TRUE,FALSE
"Radiology","Diagnostic Services","Diagnostic Services","Radiology",TRUE,FALSE,TRUE,FALSE
"Rapid Diagnostic Test (MRDT)","Malaria Services","Malaria Diagnosis and Treatment","Rapid Diagnostic Test (MRDT)",TRUE,TRUE,TRUE,FALSE
"Rapid HIV Testing","HIV/AIDS Services","HIV/AIDS Services","Rapid HIV Testing",TRUE,FALSE,TRUE,FALSE
"Rapid Syphillis","Diagnostic Services","Diagnostic Services","Rapid Syphillis",TRUE,FALSE,TRUE,FALSE
"Reagent for FBC","Support Services","Equipment and Infrastructure","Reagent for FBC",FALSE,FALSE,FALSE,FALSE
"Refridgerator","Support Services","Equipment and Infrastructure","Refridgerator",FALSE,FALSE,FALSE,FALSE
