country,facility_code,uid,created_date
TZA,113655-5,TZA-000275,2026-05-15
TZA,103589-8,TZA-000276,2026-05-15
TZA,111366-1,TZA-000277,2026-05-15
TZA,100308-6,TZA-000278,2026-05-15
TZA,120769-5,TZA-000279,2026-05-15
TZA,100654-3,TZA-000280,2026-05-15
TZA,106947-5,TZA-000281,2026-05-15
TZA,111510-4,TZA-000282,2026-05-15
TZA,106898-0,TZA-000283,2026-05-15
TZA,123772-6,TZA-000284,2026-05-15
TZA,102912-3,TZA-000285,2026-05-15
TZA,109600-7,TZA-000286,2026-05-15
TZA,106287-6,TZA-000287,2026-05-15
TZA,105908-8,TZA-000288,2026-05-15
TZA,113652-2,TZA-000289,2026-05-15
TZA,106917-8,TZA-000290,2026-05-15
TZA,122207-4,TZA-000291,2026-05-15
TZA,109720-3,TZA-000292,2026-05-15
TZA,101722-7,TZA-000293,2026-05-15
TZA,107818-7,TZA-000294,2026-05-15
TZA,124258-5,TZA-000295,2026-05-15
TZA,124256-9,TZA-000296,2026-05-15
TZA,100918-2,TZA-000297,2026-05-15
TZA,121773-6,TZA-000298,2026-05-15
TZA,105715-7,TZA-000299,2026-05-15
TZA,112313-2,TZA-000300,2026-05-15
TZA,121531-8,TZA-000301,2026-05-15
TZA,106903-8,TZA-000302,2026-05-15
TZA,103088-1,TZA-000303,2026-05-15
TZA,103029-5,TZA-000304,2026-05-15
TZA,120922-0,TZA-000305,2026-05-15
TZA,113545-8,TZA-000306,2026-05-15
TZA,105192-9,TZA-000307,2026-05-15
TZA,113651-4,TZA-000308,2026-05-15
TZA,104065-8,TZA-000309,2026-05-15
TZA,103870-2,TZA-000310,2026-05-15
TZA,100954-7,TZA-000311,2026-05-15
TZA,101219-4,TZA-000312,2026-05-15
TZA,101217-8,TZA-000313,2026-05-15
TZA,101082-6,TZA-000314,2026-05-15
TZA,104509-5,TZA-000315,2026-05-15
TZA,103993-2,TZA-000316,2026-05-15
TZA,107089-5,TZA-000317,2026-05-15
TZA,110705-1,TZA-000318,2026-05-15
TZA,106019-3,TZA-000319,2026-05-15
TZA,104744-8,TZA-000320,2026-05-15
TZA,100183-3,TZA-000321,2026-05-15
TZA,112261-3,TZA-000322,2026-05-15
TZA,101083-4,TZA-000323,2026-05-15
TZA,121582-1,TZA-000324,2026-05-15
TZA,101086-7,TZA-000325,2026-05-15
TZA,109512-4,TZA-000326,2026-05-15
TZA,104434-6,TZA-000327,2026-05-15
TZA,100203-9,TZA-000328,2026-05-15
TZA,101042-0,TZA-000329,2026-05-15
TZA,103909-8,TZA-000330,2026-05-15
TZA,122224-9,TZA-000331,2026-05-15
TZA,107277-6,TZA-000332,2026-05-15
TZA,111158-2,TZA-000333,2026-05-15
TZA,100992-7,TZA-000334,2026-05-15
TZA,104522-8,TZA-000335,2026-05-15
TZA,113679-5,TZA-000336,2026-05-15
TZA,106199-3,TZA-000337,2026-05-15
TZA,106508-5,TZA-000338,2026-05-15
TZA,108013-4,TZA-000339,2026-05-15
TZA,104948-5,TZA-000340,2026-05-15
TZA,120367-8,TZA-000341,2026-05-15
TZA,104322-3,TZA-000342,2026-05-15
TZA,121578-9,TZA-000343,2026-05-15
TZA,101212-9,TZA-000344,2026-05-15
TZA,103618-5,TZA-000345,2026-05-15
TZA,107400-4,TZA-000346,2026-05-15
TZA,108339-3,TZA-000347,2026-05-15
TZA,121583-9,TZA-000348,2026-05-15
TZA,103126-9,TZA-000349,2026-05-15
TZA,107044-0,TZA-000350,2026-05-15
TZA,108262-7,TZA-000351,2026-05-15
TZA,100952-1,TZA-000352,2026-05-15
TZA,101170-9,TZA-000353,2026-05-15
TZA,101189-9,TZA-000354,2026-05-15
TZA,113684-5,TZA-000355,2026-05-15
TZA,105801-5,TZA-000356,2026-05-15
